alphaTrajectory,adaptErrSeq,noAdaptErrorSeq,y_u_preds_inv,y_l_preds_inv,y_true_vals_inv,local_coverage,local_mpiw,standard_dev,time,picp,mpiw
0.101,0.0,0.0,7028.9873,433.343,703.60004,0.8999999761581421,6269.84912109375,,,,
0.102,0.0,0.0,6714.5625,300.66354,1763.67,0.8999999761581421,6190.47119140625,,,,
0.103,0.0,0.0,6164.3813,352.33395,3990.8,0.8999999761581421,6191.64208984375,,,,
0.104,0.0,0.0,7344.5513,539.2961,4397.07,0.8999999761581421,6145.68505859375,,,,
0.095,1.0,1.0,8499.646,803.0822,196.86008,0.8999999761581421,6130.75634765625,,,,
0.096,0.0,0.0,7121.8193,497.1655,1308.53,0.925000011920929,6081.0576171875,,,,
0.097,0.0,0.0,8205.603,431.42673,1426.1001,0.925000011920929,6004.55078125,,,,
0.098,0.0,0.0,7498.4526,369.7031,3795.81,0.925000011920929,5962.4365234375,,,,
0.099,0.0,0.0,7574.389,409.2629,824.41986,0.925000011920929,5909.84130859375,,,,
0.1,0.0,0.0,6003.2744,348.9194,1022.13995,0.925000011920929,5868.671875,,,,
0.101,0.0,0.0,8118.4604,308.34592,884.2199,0.925000011920929,5841.6806640625,,,,
0.102,0.0,0.0,6885.6377,266.6113,387.73996,0.925000011920929,5801.9267578125,,,,
0.103,0.0,0.0,6424.5483,319.47092,850.91986,0.925000011920929,5767.4619140625,,,,
0.104,0.0,0.0,6694.6987,80.18405,1090.9102,0.925000011920929,5747.90234375,,,,
0.105,0.0,0.0,5949.266,313.63132,234.53,0.925000011920929,5678.39599609375,,,,
0.096,1.0,1.0,5465.6494,285.17868,105.37009,0.8999999761581421,5695.97998046875,,,,
0.087,1.0,1.0,7776.7036,91.11789,104.03,0.8999999761581421,5762.9228515625,,,,
0.088,0.0,0.0,7327.5083,206.19821,542.4799,0.925000011920929,5740.0146484375,,,,
0.089,0.0,0.0,5887.3887,162.61105,882.9399,0.925000011920929,5742.7431640625,,,,
0.09,0.0,0.0,5673.1157,64.008026,578.83,0.925000011920929,5765.9814453125,,,,
0.091,0.0,0.0,6222.485,99.26242,380.34006,0.925000011920929,5803.4267578125,,,,
0.092,0.0,0.0,6638.392,132.17624,824.16986,0.925000011920929,5767.89794921875,,,,
0.093,0.0,0.0,6049.934,217.53513,650.83,0.8999999761581421,5752.6513671875,,,,
0.094,0.0,0.0,6773.056,118.94479,2074.02,0.8999999761581421,5762.7236328125,,,,
0.095,0.0,0.0,6691.2153,245.1528,1049.59,0.8999999761581421,5743.2548828125,,,,
0.096,0.0,0.0,6763.8403,137.26144,3471.46,0.8999999761581421,5698.0546875,,,,
0.097,0.0,0.0,7556.0664,441.05124,484.45993,0.8999999761581421,5620.6318359375,,,,
0.098,0.0,0.0,6858.2866,405.14206,319.49997,0.8999999761581421,5584.22802734375,,,,
0.099,0.0,0.0,6344.8394,300.61887,450.03,0.875,5569.2255859375,,,,
0.1,0.0,0.0,5473.245,116.20773,845.7199,0.875,5570.6708984375,,,,
0.101,0.0,0.0,6048.607,19.591522,1105.76,0.875,5590.0927734375,,,,
0.102,0.0,0.0,6924.587,210.11862,820.5998,0.875,5593.3173828125,,,,
0.103,0.0,0.0,4941.4746,125.60861,518.09,0.8500000238418579,5568.24609375,,,,
0.104,0.0,0.0,6714.165,246.61789,855.13995,0.8500000238418579,5597.93408203125,,,,
0.105,0.0,0.0,5874.351,216.86057,1053.8301,0.8500000238418579,5567.71484375,,,,
0.106,0.0,0.0,6354.077,311.23972,973.64996,0.8500000238418579,5578.98681640625,,,,
0.097,1.0,1.0,5605.2217,334.874,205.3801,0.8500000238418579,5541.55126953125,,,,
0.098,0.0,0.0,4209.0884,236.17258,412.8701,0.875,5524.5703125,,,,
0.099,0.0,0.0,4815.6284,155.48605,610.35004,0.875,5596.71484375,,,,
0.1,0.0,0.0,6484.0806,254.8486,899.8199,0.875,5653.345703125,,,,
0.101,0.0,0.0,3591.1462,170.6196,803.31,0.875,5652.55908203125,,,,
0.102,0.0,0.0,6627.1504,166.3989,1005.94,0.8500000238418579,5731.4599609375,,,,
0.103,0.0,0.0,4166.0015,192.24167,466.84006,0.8500000238418579,5734.45068359375,,,,
0.104,0.0,0.0,6363.611,155.5151,459.05002,,,,,,
0.105,0.0,0.0,5881.9976,173.36887,706.6899,,,,,,
0.106,0.0,0.0,3840.9973,276.62326,1041.7999,,,,,,
0.107,0.0,0.0,6248.504,158.90695,1036.9,,,,,,
0.108,0.0,0.0,5165.9404,140.99557,527.89984,,,,,,
0.109,0.0,0.0,5639.935,121.59836,998.07,,,,,,
0.11,0.0,0.0,4722.6665,147.93185,1493.54,,,,,,
0.111,0.0,0.0,6574.3047,354.3884,2299.9,,,,,,
0.112,0.0,0.0,5560.351,319.89914,2666.85,,,,,,
0.113,0.0,0.0,5745.428,422.7297,855.9499,,,,,,
0.114,0.0,0.0,4064.2283,229.9487,1676.2201,,,,,,
0.105,1.0,1.0,6714.0444,375.06564,7982.6104,,,,,,
0.096,1.0,1.0,8775.697,917.51263,906.31,,,,,,
0.097,0.0,0.0,7410.4067,641.15643,2280.78,,,,,,
0.098,0.0,0.0,7773.414,542.9533,819.4399,,,,,,
0.099,0.0,0.0,7168.401,514.0983,1232.26,,,,,,
0.1,0.0,0.0,7518.9785,412.04538,412.31003,,,,,,
0.101,0.0,0.0,4989.304,287.2341,311.05002,,,,,,
0.092,1.0,1.0,6242.3657,346.03195,75.6799,,,,,,
0.093,0.0,0.0,6283.206,47.913055,678.15985,,,,,,
0.094,0.0,0.0,6121.5176,246.15915,1115.54,,,,,,
0.095,0.0,0.0,4865.504,227.44016,2060.67,,,,,,
0.096,0.0,0.0,3732.6855,203.0339,372.74997,,,,,,
0.097,0.0,0.0,5904.673,245.79782,488.45993,,,,,,
0.088,1.0,1.0,6093.3994,240.35641,106.700165,,,,,,
0.089,0.0,0.0,6265.548,163.51071,518.37006,,,,,,
0.09,0.0,0.0,6259.1694,125.25192,345.58005,,,,,,
0.091,0.0,0.0,6169.6655,11.6718445,168.37009,,,,,,
0.082,1.0,1.0,5821.3315,109.70334,189.70993,,,,,,
0.083,0.0,0.0,6055.3833,52.021698,402.1799,,,,,,
0.084,0.0,0.0,5346.262,87.46457,1105.8,,,,,,
0.085,0.0,0.0,6235.818,127.47702,127.65988,,,,,,
0.086,0.0,0.0,4610.6353,65.195526,405.29,,,,,,
0.087,0.0,0.0,4662.9004,71.80783,2745.1,,,,,,
0.088,0.0,0.0,6771.494,-87.23416,3048.63,,,,,,
0.089,0.0,0.0,7170.0415,244.68698,1032.87,,,,,,
0.09,0.0,0.0,6481.802,284.02634,496.9299,,,,,,
0.081,1.0,1.0,6800.4443,223.88205,229.69992,,,,,,
0.082,0.0,0.0,6867.983,287.59494,261.82004,,,,,,
